time,open,high,low,close,volume
2018-01-01 20:00:00+00:00,1.35075,1.35211,1.35056,1.35097,13192
2018-01-02 00:00:00+00:00,1.35091,1.35138,1.35091,1.35129,1757
2018-01-02 04:00:00+00:00,1.35189,1.35367,1.35123,1.35344,30355
2018-01-02 08:00:00+00:00,1.35379,1.35647,1.35361,1.35507,72847
2018-01-02 12:00:00+00:00,1.35511,1.35812,1.35425,1.35788,77483
2018-01-02 16:00:00+00:00,1.35771,1.35994,1.35753,1.35962,53110
2018-01-02 20:00:00+00:00,1.35963,1.35999,1.35871,1.35942,20577
2018-01-03 00:00:00+00:00,1.3594,1.36025,1.35892,1.35948,25531
2018-01-03 04:00:00+00:00,1.35947,1.36121,1.35881,1.35945,31605
2018-01-03 08:00:00+00:00,1.35991,1.35999,1.35606,1.35624,65276
2018-01-03 12:00:00+00:00,1.35619,1.35686,1.34974,1.35147,71200
2018-01-03 16:00:00+00:00,1.35123,1.3526,1.35041,1.35167,48740
2018-01-03 20:00:00+00:00,1.35169,1.35231,1.35089,1.3511,22771
2018-01-04 00:00:00+00:00,1.35108,1.35208,1.35055,1.35181,24831
2018-01-04 04:00:00+00:00,1.3519,1.35295,1.35148,1.3518,30754
2018-01-04 08:00:00+00:00,1.35197,1.35554,1.35166,1.35554,55273
2018-01-04 12:00:00+00:00,1.35542,1.35589,1.35322,1.35526,76913
2018-01-04 16:00:00+00:00,1.35516,1.35549,1.3537,1.35547,47170
2018-01-04 20:00:00+00:00,1.35536,1.35561,1.35442,1.35515,23027
2018-01-05 00:00:00+00:00,1.35498,1.35682,1.35498,1.35655,23000
2018-01-05 04:00:00+00:00,1.3565,1.35769,1.35485,1.35485,32836
2018-01-05 08:00:00+00:00,1.35511,1.35529,1.35255,1.35476,52338
2018-01-05 12:00:00+00:00,1.3548,1.35817,1.35462,1.35623,97839
2018-01-05 16:00:00+00:00,1.3562,1.35728,1.35584,1.35657,43261
2018-01-05 20:00:00+00:00,1.35654,1.35692,1.35633,1.35637,23218
2018-01-07 20:00:00+00:00,1.35548,1.35782,1.35544,1.3576,4400
2018-01-08 00:00:00+00:00,1.35749,1.35852,1.35638,1.35681,24908
2018-01-08 04:00:00+00:00,1.3568,1.35681,1.35388,1.35388,30370
